times,rate_values,rate_models,targets_id,values_id,models_id
2008-12,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2009-01,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2009-02,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2009-03,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2009-04,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2009-05,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2009-06,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2009-07,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2009-08,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2009-09,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2009-10,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2009-11,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2009-12,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2010-01,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2010-02,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2010-03,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2010-04,100.0,90.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '1609.04741']"
2010-05,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '2106.15984', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450']"
2010-06,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '2106.15984']"
2010-07,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '2106.15984', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450']"
2010-08,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450', '2106.15984']"
2010-09,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '2106.15984', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2203.08450']"
2010-10,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']"
